item_id,fable,option_a,option_b,option_c,option_d,option_e,correct_idx,correct_moral
morables_0,"A slave named Androcles once escaped from his master and fled to the forest. As he was wandering about there he came upon a Lion lying down moaning and groaning. At first he turned to flee, but finding that the Lion did not pursue him, he turned back and went up to him. As he came near, the Lion put out his paw, which was all swollen and bleeding, and Androcles found that a huge thorn had got into it, and was causing all the pain. He pulled out the thorn and bound up the paw of the Lion, who was soon able to rise and lick the hand of Androcles like a dog. Then the Lion took Androcles to his cave, and every day used to bring him meat from which to live. But shortly afterwards both Androcles and the Lion were captured, and the slave was sentenced to be thrown to the Lion, after the latter had been kept without food for several days. The Emperor and all his Court came to see the spectacle, and Androcles was led out into the middle of the arena. Soon the Lion was let loose from his den, and rushed bounding and roaring towards his victim. But as soon as he came near to Androcles he recognised his friend, and fawned upon him, and licked his hands like a friendly dog. The Emperor, surprised at this, summoned Androcles to him, who told him the whole story. Whereupon the slave was pardoned and freed, and the Lion let loose to his native forest.",Gratitude is the sign of noble souls.,Never trust a known deceiver.,Bravery and compassion heal wounds.,The true leader proves himself by his brave qualities.,Compassion can bridge the gap between the strongest and the weakest.,0,Gratitude is the sign of noble souls.
morables_1,"An Ant nimbly running about in the sunshine in search of food came across a Chrysalis that was very near its time of change. The Chrysalis moved its tail, and thus attracted the attention of the Ant, who then saw for the first time that it was alive. Poor, pitiable animal! cried the Ant disdainfully. What a sad fate is yours! While I can run hither and thither, at my pleasure, and, if I wish, ascend the tallest tree, you lie imprisoned here in your shell, with power only to move a joint or two of your scaly tail. The Chrysalis heard all this, but did not try to make any reply. A few days after, when the Ant passed that way again, nothing but the shell remained. Wondering what had become of its contents, he felt himself suddenly shaded and fanned by the gorgeous wings of a beautiful Butterfly. Behold in me, said the Butterfly, your much-pitied friend! Boast now of your powers to run and climb as long as you can get me to listen. So saying, the Butterfly rose in the air, and, borne along and aloft on the summer breeze, was soon lost to the sight of the Ant forever.",Appearances are deceptive.,Disaster awaits the arrogant person who puts on airs: he will fail to get promoted and will lose his former position as well.,Silent beauty often goes unnoticed.,Silent gossips are to be seen and not disdainfully heard.,Do not underestimate the potential hidden within stillness.,0,Appearances are deceptive.
morables_2,"One summer's day a Grasshopper was hopping about, chirping and singing to its heart's content. An Ant passed by, bearing an ear of corn he was taking to the nest., 'Why not come and chat with me,' said the Grasshopper, 'instead of toiling in that way?' 'I am helping to lay up food for the winter,' said the Ant, 'and recommend you do the same' 'Why bother about winter?' said the Grasshopper; 'we have plenty of food now.' The Ant went on its way. When winter came the Grasshopper had no food and found itself dying of hunger, while it saw the ants distributing corn and grain from the stores they had collected in the summer.",There's a time for work and a time for play.,An enemy in disguise is much more unforgivable than an open enemy.,Industry and prudence are the keys to a carefree life.,It's more prudent to ignore a shortsighted insult from one troublemaker than to bring a whole crowd of trouble upon yourself.,Joyful moments are sweeter when balanced with preparation.,0,There's a time for work and a time for play.
morables_3,"A Traveler hired an Ass to convey him to a distant place. The day being intensely hot, and the sun shining in its strength, the Traveler stopped to rest, and sought shelter from the heat under the Shadow of the Ass. As this afforded only protection for one, and as the Traveler and the owner of the Ass both claimed it, a violent dispute arose between them as to which of them had the right to the Shadow. The owner maintained that he had let the Ass only, and not his Shadow. The Traveler asserted that he had, with the hire of the Ass, hired his Shadow also. The quarrel proceeded from words to blows, and while the men fought, the Ass galloped off.",In quarreling about the shadow we often lose the substance.,People that live by example need to look closely at the example they are following.,Quarrelsome haste leads to folly.,"It is often the case that assertive people are greedy for quarrelsome things which they think will bring them honour, but which only result in their death and destruction.","In seeking comfort, consider the needs of those who support you.",0,In quarreling about the shadow we often lose the substance.
morables_4,"An Ass, carrying a load of wood, passed through a pond. As he was crossing through the water he lost his footing, stumbled and fell, and not being able to rise on account of his load, groaned heavily. Some Frogs frequenting the pool heard his lamentation, and said, 'What would you do if you had to live here always as we do, when you make such a fuss about a mere fall into the water?'",Men often bear little grievances with less courage than they do large misfortunes.,Watch the actions of your enemy.,Frequent burdens breed clumsiness.,"Burdened, vicious people cannot resist hurting others even when it is not in their own unsympathetic interests.",Even the simplest journey can teach resilience.,0,Men often bear little grievances with less courage than they do large misfortunes.
morables_5,"A Man had an Ass, and a Maltese Lapdog, a very great beauty. The Ass was left in a stable and had plenty of oats and hay to eat, just as any other Ass would. The Lapdog knew many tricks and was a great favorite with his master, who often fondled him and seldom went out to dine without bringing him home some tidbit to eat. The Ass, on the contrary, had much work to do in grinding the corn-mill and in carrying wood from the forest or burdens from the farm. He often lamented his own hard fate and contrasted it with the luxury and idleness of the Lapdog, till at last one day he broke his cords and halter, and galloped into his master's house, kicking up his heels without measure, and frisking and fawning as well as he could. He next tried to jump about his master as he had seen the Lapdog do, but he broke the table and smashed all the dishes upon it to atoms. He then attempted to lick his master, and jumped upon his back. The servants, hearing the strange hubbub and perceiving the danger of their master, quickly relieved him, and drove out the Ass to his stable with kicks and clubs and cuffs. The Ass, as he returned to his stall beaten nearly to death, thus lamented: I have brought it all on myself! Why could I not have been contented to labor with my companions, and not wish to be idle all the day like that useless little Lapdog!",To be satisfied with one's lot is better than to desire something which one is not fitted to receive.,Each stage of life has its own gifts.,Hard work overcomes discontent.,Beautiful talent is wasted when it's in the hands of the discontented unappreciative.,"Value is not determined by mere provisions, but by the affection and favor one inspires.",0,To be satisfied with one's lot is better than to desire something which one is not fitted to receive.
morables_6,"A farmer went to the stables to see to his beasts of burden; among them was his favorite Ass, that was always well fed and often carried his master. With the farmer came his Lapdog, who danced about and licked his hand and frisked about. The farmer gave the Lapdog some food, and sat down. The Lapdog jumped into his master's lap, and lay there while the farmer stroked his ears. The Ass, seeing this, broke loose from his halter and commenced prancing about in imitation of the Lapdog. The farmer could not hold his sides with laughter, so the Ass went up to him, and attempted to climb into his lap. The farmer's servants rushed up with sticks and pitchforks and drove the Ass back to the stables.",Clumsy jesting is no joke.,An ounce of prevention is worth a pound of cure.,Jealousy can overshadow kindness.,A jealous reward for one might be aggressive destruction for another.,Joyful spirits can inspire even the hardest workers.,0,Clumsy jesting is no joke.
morables_7,"A Muleteer set forth on a journey, driving before him an Ass and a Mule, both well laden. The Ass, as long as he traveled along the plain, carried his load with ease, but when he began to ascend the steep path of the mountain, felt his load to be more than he could bear. He entreated his companion to relieve him of a small portion, that he might carry home the rest; but the Mule paid no attention to the request. The Ass shortly afterwards fell down dead under his burden. Not knowing what else to do in so wild a region, the Muleteer placed upon the Mule the load carried by the Ass in addition to his own, and at the top of all placed the hide of the Ass, after he had skinned him. The Mule, groaning beneath his heavy burden, said to himself: I am treated according to my deserts. If I had only been willing to assist the Ass a little in his need, I should not now be bearing, together with his burden, himself as well.",An ounce of prevention is worth a pound of cure.,The grass is always greener on the other side of the fence.,Indifference burdens the soul.,Do not harm your indifferent benefactors with regretful actions.,Challenges reveal the true weight of our burdens.,0,An ounce of prevention is worth a pound of cure.
morables_8,"An Ass once found a Lion's skin which the hunters had left out in the sun to dry. He put it on and went towards his native village. All fled at his approach, both men and animals, and he was a proud Ass that day. In his delight he lifted up his voice and brayed, but then every one knew him, and his owner came up and gave him a sound cudgelling for the fright he had caused. And shortly afterwards a Fox came up to him and said: Ah, I knew you by your voice.","Fine clothes may disguise, but silly words will disclose a fool.",It is better to serve in safety than to rule in peril.,Pride can blind the clever.,"In avoiding a deceptive lesser danger, one may inadvertently fall into a greater peril.",Borrowed appearances can lead to unexpected consequences.,0,"Fine clothes may disguise, but silly words will disclose a fool."
morables_9,"The Lion and the Fox went hunting together. The Lion, on the advice of the Fox, sent a message to the Ass, proposing to make an alliance between their two families. The Ass came to the place of meeting, overjoyed at the prospect of a royal alliance. But when he came there the Lion simply pounced on the Ass, and said to the Fox: Here is our dinner for to-day. Watch you here while I go and have a nap. Woe betide you if you touch my prey. The Lion went away and the Fox waited; but finding that his master did not return, ventured to take out the brains of the Ass and ate them up. When the Lion came back he soon noticed the absence of the brains, and asked the Fox in a terrible voice: What have you done with the brains? Brains, your Majesty! it had none, or it would never have fallen into your trap.",Wit has always an answer ready.,Happy is the man who learns from the misfortunes of others.,Strength alone cannot overcome cunning.,"In partnerships, cunning fairness is tested by dominant power.",Cunning can forge unlikely partnerships.,0,Wit has always an answer ready.
morables_10,"Two neighbours came before Jupiter and prayed him to grant their hearts' desire. Now the one was full of avarice, and the other eaten up with envy. So to punish them both, Jupiter granted that each might have whatever he wished for himself, but only on condition that his neighbour had twice as much. The Avaricious man prayed to have a room full of gold. No sooner said than done; but all his joy was turned to grief when he found that his neighbour had two rooms full of the precious metal. Then came the turn of the Envious man, who could not bear to think that his neighbour had any joy at all. So he prayed that he might have one of his own eyes put out, by which means his companion would become totally blind.",Vices are their own punishment.,People adjust their beliefs based on what is profitable for them.,Greed breeds its own punishment.,"Greedy professional mourners serve those who pay the most, leaving others grief-stricken.",Envy can lead to self-inflicted harm.,0,Vices are their own punishment.
morables_11,"A Bald Knight, who wore a wig, went out to hunt. A sudden puff of wind blew off his hat and wig, at which a loud laugh rang forth from his companions. He pulled up his horse, and with great glee joined in the joke by saying, 'What a marvel it is that hairs which are not mine should fly from me, when they have forsaken even the man on whose head they grew.'",It's good to be able to laugh at yourself.,There is no thing so worthy of wonderment which does not cease to be a miracle with the passage of timey.,Joy is found in simplicity.,Gleeful honesty is the best amused policy.,True strength lies in embracing one's authenticity.,0,It's good to be able to laugh at yourself.
morables_12,"There was once a Bald Man who sat down after work on a hot summer's day. A Fly came up and kept buzzing about his bald pate, and stinging him from time to time. The Man aimed a blow at his little enemy, but acks palm came on his head instead; again the Fly tormented him, but this time the Man was wiser rested his hand.",You will only injure yourself if you take notice of despicable enemies.,Intent matters more than the outcome.,Persistence turns frustration into wisdom.,"Yield to all and you will soon have nothing persistent to yield, leaving you frustrated.",Contentment can be found in simplicity.,0,You will only injure yourself if you take notice of despicable enemies.
morables_13,"A great conflict was about to come off between the Birds and the Beasts. When the two armies were collected together the Bat hesitated which to join. The Birds that passed his perch said: Come with us ; but he said: I am a Beast. Later on, some Beasts who were passing underneath him looked up and said: Come with us ; but he said: I am a Bird. Luckily at the last moment peace was made, and no battle took place, so the Bat came to the Birds and wished to join in the rejoicings, but they all turned against him and he had to fly away. He then went to the Beasts, but soon had to beat a retreat, or else they would have torn him to pieces.",He that is neither one thing nor the other has no friends.,Trust is not to be given lightly.,Indecision breeds hostility.,You should not add one indecisive problem to another unforgiving one.,Clinging to one's true nature can prevent unnecessary strife.,0,He that is neither one thing nor the other has no friends.
morables_14,"Two Men were traveling together, when a Bear suddenly met them on their path. One of them climbed up quickly into a tree and concealed himself in the branches. The other, seeing that he must be attacked, fell flat on the ground, and when the Bear came up and felt him with his snout, and smelt him all over, he held his breath, and feigned the appearance of death as much as he could. The Bear soon left him, for it is said he will not touch a dead body. When he was quite gone, the other Traveler descended from the tree, and jocularly inquired of his friend what it was the Bear had whispered in his ear. 'He gave me this advice', his companion replied. 'Never travel with a friend who deserts you at the approach of danger.'",Misfortune tests the sincerity of friends.,Don't promise more than you can deliver.,Curiosity can reveal deception.,"Do not mock the curious feelings of old age, as no discerning one can escape them if they go on living.","In dire moments, a clever disguise can be a fleeting shield from harm.",0,Misfortune tests the sincerity of friends.
