Benchmark,Level,Thinking,N,Extraction %,Accuracy %,Mean Conf,Conf Std
ETHICS,0,Off,297,100.0,82.2,87.1,13.7
ETHICS,0,On,297,100.0,80.1,87.8,10.9
ETHICS,2,Off,297,100.0,78.5,85.4,11.1
ETHICS,2,On,297,100.0,82.5,85.8,9.8
ETHICS,4,Off,297,100.0,66.3,76.7,10.4
ETHICS,4,On,297,100.0,68.7,77.7,9.7
ETHICS,5,Off,297,100.0,65.3,76.5,13.0
ETHICS,5,On,297,100.0,61.3,78.7,14.0
MoralChoice,0,Off,300,100.0,,86.1,20.8
MoralChoice,0,On,300,100.0,,89.7,15.3
MoralChoice,2,Off,300,96.3,,86.6,16.9
MoralChoice,2,On,300,99.0,,87.4,15.9
MoralChoice,4,Off,300,99.7,,78.9,15.3
MoralChoice,4,On,300,99.7,,79.1,17.4
MoralChoice,5,Off,300,100.0,,79.2,17.7
MoralChoice,5,On,300,98.7,,78.7,16.9
MORABLES,0,Off,300,100.0,92.0,90.4,6.0
MORABLES,0,On,300,100.0,87.7,90.3,6.7
MORABLES,2,Off,300,100.0,82.0,88.0,7.4
MORABLES,2,On,300,100.0,81.3,88.9,6.2
MORABLES,4,Off,300,100.0,83.7,84.7,6.7
MORABLES,4,On,300,100.0,80.3,87.0,6.6
MORABLES,5,Off,300,100.0,85.3,87.9,8.4
MORABLES,5,On,300,100.0,84.7,88.4,8.0
