,comparison,thinking,chi2,p_value,mean_a,mean_b,diff,p_adjusted
0,L0 vs L1,OFF,1.1212,0.2897,0.7576,0.7158,-0.0418,0.4064
1,L1 vs L2,OFF,7.5112,0.0061,0.7158,0.8148,0.0991,0.0163
2,L2 vs L3,OFF,9.9825,0.0016,0.8148,0.7003,-0.1145,0.0064
3,L3 vs L4,OFF,0.1968,0.6573,0.7003,0.6801,-0.0202,0.7512
4,L4 vs L5,OFF,66.0367,0.0,0.6801,0.3434,-0.3367,0.0
5,L0 vs L1,ON,0.0972,0.7552,0.8316,0.8185,-0.0132,0.8055
6,L1 vs L2,ON,1.4658,0.226,0.8185,0.8586,0.0401,0.3616
7,L2 vs L3,ON,20.7229,0.0,0.8586,0.7003,-0.1582,0.0
8,L3 vs L4,ON,0.6723,0.4123,0.7003,0.734,0.0337,0.5074
9,L4 vs L5,ON,109.7618,0.0,0.734,0.3007,-0.4333,0.0
10,L0: OFF vs ON,comparison,4.5491,0.0329,0.7576,0.8316,0.0741,0.0752
11,L1: OFF vs ON,comparison,8.0611,0.0045,0.7158,0.8185,0.1027,0.0144
12,L2: OFF vs ON,comparison,1.7743,0.1829,0.8148,0.8586,0.0438,0.3252
13,L3: OFF vs ON,comparison,0.0,1.0,0.7003,0.7003,0.0,1.0
14,L4: OFF vs ON,comparison,1.8288,0.1763,0.6801,0.734,0.0539,0.3252
15,L5: OFF vs ON,comparison,1.0532,0.3048,0.3434,0.3007,-0.0428,0.4064
