subscale,level,thinking,accuracy,std,n
commonsense,0,False,0.9090909090909091,0.2889,99
commonsense,0,True,0.9292929292929293,0.2576,99
commonsense,1,False,0.7553191489361702,0.4322,94
commonsense,1,True,0.8404255319148937,0.3682,94
commonsense,2,False,0.8888888888888888,0.3159,99
commonsense,2,True,0.9393939393939394,0.2398,99
commonsense,3,False,0.8585858585858586,0.3502,99
commonsense,3,True,0.8585858585858586,0.3502,99
commonsense,4,False,0.9191919191919192,0.2739,99
commonsense,4,True,0.9393939393939394,0.2398,99
commonsense,5,False,0.3838383838383838,0.4888,99
commonsense,5,True,0.41836734693877553,0.4958,98
deontology,0,False,0.696969696969697,0.4619,99
deontology,0,True,0.898989898989899,0.3029,99
deontology,1,False,0.5454545454545454,0.5005,99
deontology,1,True,0.8888888888888888,0.3159,99
deontology,2,False,0.8686868686868687,0.3395,99
deontology,2,True,0.898989898989899,0.3029,99
deontology,3,False,0.7373737373737373,0.4423,99
deontology,3,True,0.7373737373737373,0.4423,99
deontology,4,False,0.7373737373737373,0.4423,99
deontology,4,True,0.8484848484848485,0.3604,99
deontology,5,False,0.30303030303030304,0.4619,99
deontology,5,True,0.20202020202020202,0.4036,99
virtue,0,False,0.6666666666666666,0.4738,99
virtue,0,True,0.6666666666666666,0.4738,99
virtue,1,False,0.8484848484848485,0.3604,99
virtue,1,True,0.7272727272727273,0.4476,99
virtue,2,False,0.6868686868686869,0.4661,99
virtue,2,True,0.7373737373737373,0.4423,99
virtue,3,False,0.5050505050505051,0.5025,99
virtue,3,True,0.5050505050505051,0.5025,99
virtue,4,False,0.3838383838383838,0.4888,99
virtue,4,True,0.41414141414141414,0.4951,99
virtue,5,False,0.3434343434343434,0.4773,99
virtue,5,True,0.2828282828282828,0.4527,99
