level,thinking,response_length_mean,response_length_std,reasoning_markers_mean,reasoning_markers_std,uncertainty_markers_mean,uncertainty_markers_std,input_tokens_mean,output_tokens_mean
0,False,1.37,0.48,0.0,0.0,0.0,0.0,91.12,4.37
0,True,1.45,0.5,0.0,0.0,0.0,0.0,120.12,249.4
1,False,93.19,48.91,0.57,0.73,0.42,0.62,87.12,139.03
1,True,86.72,48.88,0.51,0.73,0.38,0.65,116.12,421.25
2,False,174.42,42.11,0.9,0.94,0.97,1.03,113.12,258.37
2,True,137.9,35.84,0.59,0.77,0.54,0.74,142.12,575.59
3,False,218.33,48.9,1.21,0.96,1.31,1.11,125.12,343.31
3,True,193.72,30.71,0.91,0.89,0.81,0.94,154.12,729.93
4,False,224.23,51.25,1.79,0.85,2.67,1.16,139.12,359.22
4,True,204.88,25.94,1.57,0.84,2.03,0.99,168.12,764.93
5,False,447.56,84.22,2.22,0.97,2.91,1.21,433.33,666.28
5,True,388.15,58.78,2.01,0.96,2.84,1.17,450.67,1446.34
