item_id,fable,correct_idx,correct_answer,level,thinking,run,response,thinking_content,extracted_answer,correct,confidence,confidence_category,response_length,reasoning_markers,uncertainty_markers,input_tokens,output_tokens,timestamp,benchmark
morables_414,"A certain man took a deposit from a friend but intended to keep it for himself. When the depositor then summoned him to swear an oath regarding the deposit, he realized the danger he was in and prepar",0,A,0,False,0,"<answer>A</answer>
<confidence>85</confidence>",,A,True,85,very_high,2,0,0,441,18,2026-01-22T23:27:20.320055,morables
morables_66,"A Lark had made her nest in the early spring on the young green wheat. The brood had almost grown to their full strength and attained the use of their wings and the full plumage of their feathers, whe",0,A,0,False,0,"<answer>A</answer>
<confidence>92</confidence>",,A,True,92,very_high,2,0,0,410,18,2026-01-22T23:27:21.989894,morables
morables_129,"When a certain man of Athens saw Aesop playing with marbles amidst a crowd of boys, he stood there and laughed at Aesop as if Aesop were crazy. As soon as he realized what was going on, Aesop -- who w",0,A,0,False,0,"<answer>A</answer>
<confidence>95</confidence>",,A,True,95,very_high,2,0,0,352,18,2026-01-22T23:27:25.471956,morables
morables_377,"The story goes that a sow who had delivered a whole litter of piglets loudly accosted a lioness, 'How many children do you breed?' asked the sow. 'I breed only one,' said the lioness, 'but he is very ",0,A,0,False,0,"<answer>A</answer>
<confidence>95</confidence>",,A,True,95,very_high,2,0,0,214,18,2026-01-22T23:27:29.005778,morables
morables_179,"Running swiftly, balancing on the razor's edge, bald but with a lock of hair on his forehead, he wears no clothes; if you grasp him from the front, you might be able to hold him, but once he has moved",0,A,0,False,0,"<answer>A</answer>
<confidence>95</confidence>",,A,True,95,very_high,2,0,0,242,18,2026-01-22T23:27:32.639523,morables
morables_597,"A fox was standing not far from a trap, pondering every possible approach. A nearby wolf noticed the fox and approached her. He then asked the fox if he might be allowed to take the meat, and the fox ",0,A,0,False,0,"<answer>A</answer>
<confidence>95</confidence>",,A,True,95,very_high,2,0,0,300,18,2026-01-22T23:27:36.328350,morables
morables_199,"There was a bull who was pastured on a little island. Two dung beetles lived there too, feeding on the bull's manure. Winter was approaching, so one of the dung beetles said to the other, 'I want to g",0,A,0,False,0,"<answer>A</answer>
<confidence>85</confidence>",,A,True,85,very_high,2,0,0,357,18,2026-01-22T23:27:40.366613,morables
morables_393,"There were two frogs whose pond had dried up, so they went looking for a new place to live. When they came to a well, one of them thought that they should jump in immediately, but the other one said, ",0,A,0,False,0,"<answer>A</answer>
<confidence>95</confidence>",,A,True,95,very_high,2,0,0,226,18,2026-01-22T23:27:43.579400,morables
morables_368,"Thanks to his excellent qualities, Hercules was received into heaven. He saluted the gods who came to congratulate him one after another, but when he was approached by Plutus, the god of wealth and th",0,A,0,False,0,"<answer>C</answer>
<confidence>85</confidence>",,C,False,85,very_high,2,0,0,266,18,2026-01-22T23:27:47.302741,morables
morables_301,"A dog made false accusations against the sheep, demanding that she pay him back a loaf of bread which, he insisted, the sheep had supposedly borrowed from him. The dog summoned the wolf as his witness",0,A,0,False,0,"<answer>A</answer>
<confidence>95</confidence>",,A,True,95,very_high,2,0,0,295,18,2026-01-22T23:27:50.867292,morables
